41642,620000
3009,925000
471308,100000
16729660,000000
31112430,000000
1822555,000000
501500,200000
385241,300000
27595,540000
8455,701000
4198,310000
6917,075000
1560931,000000
3862,336000
3116,174000
2524,896000
1063526,000000
151,456200
133,607700
64,778110
16,553860
102,105300
24,812390
9,022673
8,882533
4,209546
2,511369
2,600601
2,562754
1,474199
0,289421
0,007243
7974,211000
7716,108000
2612288,000000
30315100,000000
4492317,000000
261152,000000
41080,410000
603822,600000
5522,365000
1642,641000
542,675600
3669,475000
1376162,000000
237,749300
843,531600
2194,888000
888142,400000
22,868150
38,987080
13,120830
4,515675
59,583190
8,752037
1,096315
0,786744
0,536191
0,490483
0,527665
0,163551
0,156069
0,044604
0,000856
5706,757000
122095,700000
9881774,000000
15870930,000000
231776,700000
16975,120000
2666,560000
561886,200000
5575,258000
568,536900
170,688200
1834,669000
1198056,000000
141,346100
1143,070000
1473,084000
761715,700000
11,448480
10,841050
9,364399
4,897324
41,625600
6,999553
0,829649
0,811134
0,385424
0,279761
0,396754
0,106198
0,074867
0,025797
0,001028
7058,931000
294219,700000
15374190,000000
3667083,000000
16790,990000
4967,321000
413,960100
457348,500000
3651,426000
50,063800
199,233200
422,202400
1035478,000000
185,446800
1094,002000
704,500500
708611,200000
12,509800
30,578710
5,368256
8,865833
30,011020
7,400008
1,144557
0,941348
0,416292
0,292432
0,476573
0,114443
0,106007
0,027634
0,000795
22020,840000
991147,100000
12324730,000000
444701,800000
4364,509000
2662,851000
355,749900
372590,700000
9390,200000
17,286960
125,987700
167,513600
895253,700000
384,595100
637,020900
651,371600
621562,900000
20,326280
35,206290
3,591074
7,413702
26,654280
5,075497
1,072884
0,963885
0,449221
0,260163
0,426916
0,143697
0,083940
0,028901
0,000575
22773,370000
2708343,000000
7804254,000000
42772,720000
1401,774000
2064,741000
200,723000
317146,700000
18276,450000
112,493600
270,252900
348,108500
763655,800000
1819,096000
6053,258000
3578,566000
473262,200000
71,467000
45,993870
19,604300
16,613950
28,279650
7,395126
2,696853
1,653812
0,767814
0,597953
0,683425
0,282773
0,100339
0,025055
0,000932
51242,450000
4036930,000000
4544567,000000
16131,910000
718,629200
1206,058000
357,810700
268909,200000
15905,250000
690,716400
2149,377000
4133,108000
599400,800000
15037,340000
255633,000000
43223,060000
344075,700000
517,207700
186,451500
92,900530
84,601640
86,620660
24,361080
12,867690
6,476923
3,649806
4,427720
3,859069
1,528330
0,448325
0,052159
0,002737
144413,500000
4318618,000000
2598476,000000
5607,873000
456,629100
1081,808000
489,460000
218975,800000
2310,698000
601,324800
2010,706000
3632,627000
425205,300000
10070,710000
976832,900000
38368,570000
223680,700000
478,129800
122,197400
47,978200
